system_name,x,y,z,population,stations_name,stations_type,stations_distance_to_star,Stations_controlling_minor_faction_id
Gugulukunn,-56.125,145.03125,85.40625,2167,Maxwell Gateway,Industrial Outpost,1299,2447
Li Nones,-19.21875,-88.53125,134.75,1601258,Amano Beacon,Industrial Outpost,2120,71104
Guttunthur,-57.03125,84,-91.3125,24969,Maddox Dock,Commercial Outpost,2514,48052
Hosakab,-59.96875,-83.625,-117.59375,15030,Forrester Station,Civilian Outpost,11,49527
Holva,58.6875,-170.96875,-41.96875,1980471,Fabricius Vision,Coriolis Starport,459,43406
Can Nik,-153.90625,32.46875,-53.71875,1375,Feynman Terminal,Civilian Outpost,2058,25493
Pate,-74.40625,-83.28125,-118.28125,27060,Bouch Port,Mining Outpost,78,23808
Gers,151.5,10.84375,32.84375,161810,Huxley Dock,Coriolis Starport,857,48614
Tsimaskara,-7.40625,32.40625,68.1875,29192,Fischer Dock,Coriolis Starport,878,15483
Cambo,101.875,-130.125,143.28125,3862870,Haller Installation,Civilian Outpost,530,8999
Conian,-105.6875,-17.59375,117.65625,985,Clifford Horizons,Industrial Outpost,448,66985
Chuvaleni,49.5,-5.15625,67.625,2428,Mullane Terminal,Coriolis Starport,21,21870
Cliocassi,62.125,-96.3125,162.375,4691,Garn Terminal,Commercial Outpost,447,54108
Igorodimos,-13.78125,-20.4375,96.21875,3419821,Darnielle Colony,Industrial Outpost,12,48362
Gliese 9407,105.78125,73.65625,56.34375,2048,Kopal Dock,Coriolis Starport,657,15336
Gliese 9468,113.40625,-1.15625,103.9375,134408,Jones Estate,Orbis Starport,11,21029
Chang Kuo Lao,-77.34375,-15.1875,116.5625,3121,Fiennes Enterprise,Coriolis Starport,2084,5055
Pintec,56.25,-181.5625,-86.90625,4609,Thiele Camp,Industrial Outpost,450,3209
Gorynich,-61.5,-90.46875,132.25,2351,Parise Terminal,Industrial Outpost,438426,5014
Choerii,-83.6875,3.3125,138.4375,1623,Dedekind Beacon,Civilian Outpost,1010,75184
Buluwai,10.53125,-28.40625,111.78125,1571602,Horowitz Hub,Coriolis Starport,11,59371
Cariaya,-83.90625,-33.5625,86.4375,1896,Patrick Terminal,Orbis Starport,392,52427
Nokonda,-117.15625,-78.1875,-39.84375,13865,Grimwood Colony,Industrial Outpost,41,2873
Eskit,-153.0625,6.34375,50.9375,3919,Burnell Station,Civilian Outpost,363,589
Etz'nama,155.25,-14.28125,-61.84375,2143,Arrhenius Point,Industrial Outpost,1306,46699
Bylli,161.75,-66.46875,31.25,4032,Anning Port,Coriolis Starport,569,64913
Dhar,149.46875,76.96875,32.1875,3781,Shepherd Dock,Orbis Starport,107,63239
Macu Ku,145.78125,-124.875,-41.6875,2374,Regiomontanus Enterprise,Civilian Outpost,1316,3865
HIP 101852,-84.96875,-62.65625,94.21875,19060,Chongzhi City,Civilian Outpost,3960,7265
Duc Babal,143.375,-192.375,-31.96875,2165,Kovalyonok Port,Coriolis Starport,383,39464
Frigenses,116.03125,44,58.71875,1899,Herreshoff Platform,Industrial Outpost,1794,16624
Irantxe,-53.1875,-149.4375,71.5625,1547,Filipchenko Gateway,Ocellus Starport,27,45683
Domawilata,100.6875,-120.3125,142.15625,2818,Vogel Port,Industrial Outpost,17,3259
Haoko,100.5625,-181.78125,31.4375,2923,Vernadsky City,Orbis Starport,2441,23592
Esumaramuxa,83.8125,-84.5,133.9375,3181,Alphonsi Orbital,Coriolis Starport,39,19456
Ross 156,-25.40625,-22.15625,107.5,3000,Hoffman Mines,Mining Outpost,238,10228
Thosa,-34.8125,-96.78125,-123.78125,1617,White Port,Industrial Outpost,1612,12252
Dyaus,41.09375,-182.6875,4.78125,3028,Priestley Colony,Civilian Outpost,454,54005
Ekonii,28.625,-236.71875,79.03125,1894,Reinhold Hub,Industrial Outpost,1404,14323
Gollobo,6.6875,0.5625,-123.34375,2951483,Schroter Colony,Industrial Outpost,237,44804
Gungassa,-15.0625,123.96875,-105.375,2541,Herrington Dock,Industrial Outpost,112,29021
Draunetes,-39.71875,-77.3125,-141.6875,1275,Shepard Port,Orbis Starport,146,74858
Chu Jona,-75.0625,94.875,-57.40625,1610,Bahcall Refinery,Industrial Outpost,24,65800
Har Pa Chiu,-109.875,101.03125,56.84375,14495,Leibniz Dock,Ocellus Starport,143,74125
Chelka,-114.375,61.90625,-77.25,1438,Ramsbottom Port,Coriolis Starport,252,35981
Dudugara,-107.8125,-59.21875,-101.96875,1323,Burnet Hub,Ocellus Starport,7,53435
Cotiges,-107.8125,-68.09375,52.9375,1246,Lorenz Works,Industrial Outpost,10,63907
Heru,-151.90625,-44.5625,14.75,1302,Nelder City,Commercial Outpost,2371,5664
Tzotz,-134.96875,-6.78125,-16.625,3391,Aleksandrov Gateway,Civilian Outpost,2272,39297
Cuicaure,-101.59375,-98.9375,-2.34375,1858,Volta Camp,Industrial Outpost,476,2352
LFT 1425,-64.65625,20.5,36,568171763,Stephenson Mine,Industrial Outpost,8,58705
Caduwar,139.84375,-104.875,95.3125,1794,Whitworth Dock,Civilian Outpost,78,18048
Buryang,118.8125,37.9375,-99.625,2306954,Pinto Ring,Orbis Starport,301,74872
Njoerd,126.84375,-13.28125,75.71875,29064,Sargent Vision,Mining Outpost,7881,58096
Ch'i,110.0625,-216.46875,102.46875,2110,Parker Dock,Coriolis Starport,17,60530
Draualang,91.1875,65.15625,-38.40625,1682,Hasse Horizons,Scientific Outpost,1255,2720
Gandin,36.5625,80.59375,-139.375,11560,Johnson Port,Mining Outpost,693,23894
Garudhumir,45.6875,1.4375,159.40625,1258,Asire Dock,Orbis Starport,295,21975
HIP 53509,107.78125,82.875,-2.78125,6837471,Stevens Gateway,Orbis Starport,74,41756
Targamu,-6.78125,-137.34375,-11.65625,2167,Gantt Gateway,Orbis Starport,523,29661
Segou,-113.25,23.90625,59.96875,1523,Bosch Station,Orbis Starport,350,43372
Tphene,-94.28125,-39.21875,67.25,1340,Redi Base,Mining Outpost,382,6162
Dain,-43.8125,-67.5,91.53125,1117,RenenBellot Terminal,Industrial Outpost,3009,6791
Bugua,-63.125,-62.78125,-122.59375,2062,al-Khowarizmi Terminal,Commercial Outpost,229,41795
Kalvante,118.78125,-162.8125,-13.96875,3545225,Sorayama Station,Orbis Starport,445,43150
I Puppis,65.71875,-19.09375,-14.09375,3724136,Shinjo Terminal,Civilian Outpost,215416,45040
Dhakya,-127.625,-100.0625,41.53125,4205,Kapp Hub,Civilian Outpost,766,9157
Ross 750,-110.1875,-9.96875,94.375,9007448,Sopwith Orbital,Civilian Outpost,143,16329
Mbayaksas,182.53125,-147.625,61.1875,2039,Thompson Installation,Civilian Outpost,113,9164
Mumba,82.34375,170.5,-94.875,2613,Boltzmann Hangar,Civilian Outpost,14,64291
Cerry,100.9375,20.0625,-102.40625,13862,Kaku City,Orbis Starport,643,40333
Sokoq,-18.6875,37.15625,80.28125,1852,Cooper Relay,Industrial Outpost,186,61060
HIP 96487,110.78125,-112.65625,163.40625,16907,Phillips Mines,Industrial Outpost,20,35766
Carpulia,-147.28125,28.4375,36.03125,154264,Herzfeld Enterprise,Civilian Outpost,1194,13237
LHS 2813,48.0625,9.40625,43.0625,442540,Dawes Orbital,Coriolis Starport,464272,51906
Tirada,-56.09375,55.25,-43.09375,28080,Searfoss Horizons,Coriolis Starport,12,74504
Crom,53.0625,-17.34375,8.46875,15000,Serebrov Hub,Industrial Outpost,805,8375
Ross 1028b,-6.78125,66,44.65625,28939,Karlsefni Dock,Orbis Starport,5263,1012
Gridii,-80.15625,-91.9375,-19.34375,1919251,Savitskaya Station,Civilian Outpost,639,53926
Coelaba,-60.375,79.5625,-100.84375,1618805,Shaikh Dock,Ocellus Starport,3180,1082
Vanayeb Hua,-31.59375,152.59375,-43.84375,3457,Dowling Depot,Civilian Outpost,18350,72029
Chinataxo,-143.6875,19.34375,61.8125,1394,Pennington Vision,Civilian Outpost,12493,42550
Charao,72.78125,2.84375,-144.0625,20456,Prunariu Laboratory,Commercial Outpost,894,10957
Freyan,132.71875,-40.5625,6.71875,42710,Aguirre Orbital,Orbis Starport,215,41433
Kalibia,128.34375,-14.15625,59,286018699,Watts Ring,Orbis Starport,493,37887
Caerete,31.34375,-34.375,135.78125,1537,Muller Station,Coriolis Starport,524,38559
Cowiskimo,162.71875,48.8125,15.53125,133805,Baillaud Dock,Coriolis Starport,1908,18564
Har Ibori,135.25,-36.8125,-36.34375,2619,Culbertson Port,Coriolis Starport,1557,21870
Damontae,134.0625,-35.09375,-8.96875,3025740,Kendrick Platform,Civilian Outpost,1318,49212
Coriosolite,-134.09375,-34.75,-93.375,1365,Biggle Station,Industrial Outpost,661,4348
HIP 18402,119.34375,-139.6875,-31.34375,2251,Levchenko Dock,Civilian Outpost,1416,7219
Pegasi Sector BQ-Y d100,-160.3125,-81.09375,-68.6875,40,Conway Port,Industrial Outpost,639,41394
Bulkuq,143.125,-87.3125,-7.78125,4720244,Song Plant,Industrial Outpost,709,46044
Estarna,148.84375,-194.28125,106.375,1782,Fermi Landing,Civilian Outpost,2769,3598
Malina,-48.1875,23,14.40625,422924,Rees Station,Civilian Outpost,178,37026
Gudus,115.59375,-78.84375,-50.3125,2200,Selye Plant,Industrial Outpost,3694,74928
HIP 24019,-10.09375,-20.09375,-177.03125,1518,Lind Station,Commercial Outpost,29,64648
Robole,-100.5,62.96875,40.59375,2596306,Eratosthenes Hub,Scientific Outpost,59,42532
Dangkhurs,118.34375,-222.84375,-21.125,4096,Rae Terminal,Commercial Outpost,1121,46324
Choere,106.375,115.6875,-17.25,1211,Eisinga Terminal,Orbis Starport,414,75026
Jangu,116.9375,87.65625,-16.75,7653,Howe Port,Civilian Outpost,94,21414
Can Hut,83.34375,67.46875,-126.21875,1402,Laing Freeport,Mining Outpost,1924,19486
Morten-Marte,81.875,36.875,47.53125,1500000,Schmitt Camp,Mining Outpost,242,48423
Dakshey,-91.6875,-51.25,-95.34375,1486,Laurent Orbital,Scientific Outpost,370,13234
Nerviri,43.5,-150.9375,-55.28125,2733,Tanner Prospect,Civilian Outpost,395,2140
Etznab Yu,60.875,-202.375,121.1875,4064,Kuipers Refinery,Industrial Outpost,962,46699
Konbudo,31.625,-6.75,171.09375,1251,Lysenko Relay,Industrial Outpost,13,29503
Di Kian,33.0625,158.375,-59.84375,1086,Stromgren Mines,Mining Outpost,301,74914
HIP 106442,119.34375,-127.8125,126.28125,106540,Pennington Port,Coriolis Starport,4220,74271
Caripurunma,31.84375,-146.375,-69.625,1926,Griffiths Horizons,Coriolis Starport,829,75221
Chapsugs,97.84375,-1.8125,-123,2577,Stott City,Orbis Starport,1056,27384
HIP 3643,22.3125,-181.875,16.3125,42381,O'Donnell Gateway,Scientific Outpost,650,23
Chipibogi,1.4375,-4.65625,-124.125,21358,Bursch Terminal,Orbis Starport,456,35878
Laksmii,-35.84375,-121.125,-63.46875,4204,Vuia Survey,Coriolis Starport,834,75056
Dabalngas,-20.03125,160.6875,-51.21875,1671,Foreman Gateway,Coriolis Starport,154,40727
Diakas,-20.96875,76,-97.625,19235,Hill Estate,Industrial Outpost,72,13689
Gadagese,-43.84375,145.09375,19.1875,6648,Wilson City,Industrial Outpost,78,16583
Chingpho,170.75,-103.375,6.15625,3955,Aitken Vision,Commercial Outpost,368,14323
Can Zu,-40.53125,-11.375,141.1875,1460,Schneider Relay,Coriolis Starport,261,5013
Ngola,-38.125,-146.0625,25.84375,2921659,Lichtenberg Depot,Industrial Outpost,299,17810
Guanatamas,-52.34375,40.3125,-114.4375,3325,Stokes Terminal,Civilian Outpost,17545,35749
Gugu,-77.4375,91.5,-61.21875,2882290,Tucker Colony,Coriolis Starport,1014,13360
HIP 81998,-65.03125,74.25,77.34375,2387600,Galiano Principality,Coriolis Starport,504,10957
Damovik,-122.125,-127.09375,15.375,7616,Chretien Colony,Civilian Outpost,376,30800
Fan Naom,-136.3125,107.53125,4.0625,1199,Ruppelt Station,Industrial Outpost,526,43621
HIP 22373,86.96875,-88.21875,-74.3125,2927003,Hickam Hub,Orbis Starport,380,39897
Gerthel,130.28125,-20.8125,-2.4375,2431,Nikolayev Terminal,Coriolis Starport,849,114
HIP 64957,146.53125,29.625,112.53125,2707,Rothfuss Mines,Industrial Outpost,1166,25650
Gaantenoi,88.1875,30.3125,103.03125,2186,Gantt Station,Coriolis Starport,1177,3121
Nyokomici,-115.15625,19.21875,103.6875,2063531,von Zach Station,Coriolis Starport,17,60005
Cimicusha,137.3125,-65.59375,-85.71875,4109,Panshin Hub,Coriolis Starport,22,1355
Viducasses,-54.3125,78.5,-72.125,1397,Janes Dock,Orbis Starport,70,48657
Ebandii,124.5625,-101.28125,-67.9375,40018,Polya Gateway,Industrial Outpost,3097,24316
Zeta-1 Reticuli,26.25,-28.78125,4.0625,2416,Kizim Terminal,Ocellus Starport,1161,28529
Guanomo,24,-101.65625,-142.84375,4896,Rae Enterprise,Industrial Outpost,2385,6176
Djirupatha,-7.28125,70.53125,-135.25,1662,Qureshi Hub,Coriolis Starport,7769,42647
Bumba,-88.28125,59.65625,-92.4375,15143,Voss Dock,Coriolis Starport,178631,1120
Nedos,-72.71875,-43.21875,-24.40625,2719285,Jacquard Hub,Coriolis Starport,23,60250
Chieh,162.4375,-123.9375,99.5,2148,Quinn Gateway,Orbis Starport,371,24904
Dievantja,160.9375,-119.375,79.84375,2420,Morrow Hub,Civilian Outpost,1401,1355
Lopocareni,-96.71875,-67,115.5625,6537,Boodt Dock,Ocellus Starport,120461,43498
Gabriguri,173.21875,0.84375,48.25,136025,Zelazny Colony,Civilian Outpost,1492,23181
HIP 81755,-132.03125,104.4375,-10.3125,879,Poncelet Port,Orbis Starport,68392,21783
Bukurnabal,-46.5625,100.78125,32.5625,574542111,Younghusband Orbital,Ocellus Starport,422,25493
Chuj,-83.875,41.5,-156.28125,2709,Sladek Ring,Coriolis Starport,578,25650
Gally Bese,128.78125,-44.1875,0.5625,63180,Cayley Dock,Civilian Outpost,832,24904
HIP 69457,149.3125,-45.75,118.40625,184398,Wisniewski-Snerg Landing,Mining Outpost,1537,25273
Njulan,-89.625,47.25,50.59375,19923,Grimwood Colony,Civilian Outpost,718,14683
Hengubu,-5.8125,-119.9375,-92.3125,941,Ejeta Gateway,Coriolis Starport,310,54184
Cotine,154.59375,40.125,55.71875,14254,Otomo Gateway,Industrial Outpost,773,635
Motintana,125.0625,-166.65625,-59.5625,4632,Hafner Enterprise,Industrial Outpost,99,16848
Clayagro,18.875,42.65625,-151.78125,6130,Waldrop Gateway,Orbis Starport,25,50587
Gongang,56.71875,18.46875,141.09375,2578,Kepler Hub,Scientific Outpost,1943,10984
Coniaci,174.71875,-155.625,114.34375,1745,Collins Dock,Civilian Outpost,228,8377
HIP 105511,151.1875,-119.5,123.5,81974,Fairey Vision,Civilian Outpost,576,26899
Picaure,116.375,-44.25,-39.03125,1709,Bacon Market,Orbis Starport,2673,31526
Wolf 1449,17.96875,-14.15625,-35.8125,44908,Leopold Heckmann Port,Industrial Outpost,77,32386
Cabrigenses,77.71875,-56.84375,-158.46875,14849,Scithers Terminal,Coriolis Starport,1519,10252
Mahei,41.21875,-97.96875,-0.59375,65256,Yano Terminal,Coriolis Starport,490,41450
Gaarnakuruk,89.40625,-256,50.40625,4305,Kaleri Market,Industrial Outpost,172562,14111
Haushu,88.4375,-50.40625,-128.0625,2291,Narita Gateway,Industrial Outpost,220,29655
Kraua,15.75,-122.59375,-118.125,2452,McIntosh Terminal,Orbis Starport,19,9219
HIP 107397,34.0625,-165.5,142.875,5734367,Gurragchaa Holdings,Industrial Outpost,1606,36104
Goplatrugba,-154.4375,49.1875,-46.25,36714,Ramanujan Dock,Mining Outpost,92928,74879
Ghara,-0.84375,25.71875,140.375,106203430,Hardwick Installation,Industrial Outpost,243,2301
Candi,101.9375,-74.6875,-82.5625,22378,Read Gateway,Civilian Outpost,309,18833
Caspian,20.90625,-81.375,-103.34375,30238,Cheli Station,Coriolis Starport,284,367
Prom,-10.9375,79.59375,140.59375,49786,Bothezat Ring,Civilian Outpost,14073,68178
Caspataya,41.71875,-179.09375,-7.8125,3204,Tolstoi Landing,Civilian Outpost,8,27232
Diabingo,15.3125,-142.875,152.125,1331,Vancouver Gateway,Coriolis Starport,216,19774
Elbiones,156,-37.53125,-39.90625,3408,Jensen Orbital,Industrial Outpost,154,24316
HIP 110291,-186.8125,-29.5,-26.53125,2781,Noether Dock,Industrial Outpost,1903,736
LTT 11503,-10.5,-13,-70.5625,2392,Behring Ring,Industrial Outpost,1308,39207
HIP 32916,-10.4375,44.46875,-136.84375,43834,Gamow Hub,Coriolis Starport,2279,20269
Dahaes,88.90625,-192.59375,111.21875,4502918,Phillips Arena,Civilian Outpost,1680,7229
Hajara,53.75,-183.5,-21.78125,3278,Bamford Ring,Coriolis Starport,525378,20269
Gliese 9119,-47.9375,-41.03125,-126.40625,33941,Shen Terminal,Coriolis Starport,6,74892
Tan'gika,-98.375,-48.96875,-54.625,15484,Nouvel Survey,Coriolis Starport,2193,33190
Idunga,-22.8125,135,-44.71875,2290,Fernao do Po Orbital,Commercial Outpost,1830,74195
Cagni,-9.5,-6.40625,-168.0625,63043,Geston Port,Coriolis Starport,1277,5013
Greidmarang,104.59375,37.375,132.375,12718,Griffiths Dock,Civilian Outpost,377,1988
Bulkun,24.4375,-138.90625,149.875,1459,Rose Terminal,Coriolis Starport,701,25493
Kureinji,29.78125,-178.78125,-42.59375,4386,Gelfand Vision,Civilian Outpost,6660,6555
Mono,-115.625,-112.59375,-57.03125,14184,Scully-Power Base,Industrial Outpost,1022,53868
Hoorajo,-112.5625,-69.40625,-45.9375,25151,Sylvester Dock,Orbis Starport,420,32512
Furuhjelm I-645,-11.71875,92.125,-45.6875,13471723,Wegener Station,Coriolis Starport,20902,43191
GCRV 54903,-11.75,-34.875,-100.21875,25677,MacLean Dock,Civilian Outpost,224,49516
Nommarini,-77.875,-8.34375,-80.3125,1649,Maxwell Market,Orbis Starport,355,36662
Xi Aquarii,-99.125,-116.75,91.96875,7140,Sadi Carnot Platform,Civilian Outpost,11452,74878
HR 7079,-74.59375,17.4375,54.09375,4080812,Qureshi Laboratory,Commercial Outpost,6714,5362
HIP 46662,53.125,92.25,-80.5,1932,Lazarev Enterprise,Industrial Outpost,6067,29004
HIP 7930,-64.9375,-97.90625,-79.15625,1103,Crouch Dock,Industrial Outpost,374,75732
Czerno,111.625,28.125,-118.3125,99587,Hevelius Dock,Coriolis Starport,137,74856
Gunwi,156.375,-19.6875,35.375,2334,Carstensz Dock,Commercial Outpost,198,39507
Cigui,98.25,-19.5625,-48,3441784,Menezes Station,Coriolis Starport,377,41771
Chainandra,156.9375,-164.09375,9.5625,4121,Cauchy Station,Ocellus Starport,4489,15018
Gores,134.1875,98.84375,-34.40625,2970,MacKellar Ring,Orbis Starport,439180,5017
Kolabinates,-100.125,-99.625,18.625,14280,Horch Survey,Commercial Outpost,357214,15202
Nyikari,8.65625,-7.1875,137.6875,15940,Lyakhov Terminal,Commercial Outpost,1428,39973
Gandoques,118.59375,-215.90625,86.84375,4819,Laveykin Orbital,Ocellus Starport,971,63068
HIP 9146,60.84375,-247.09375,-36.21875,2987,McKay Terminal,Mining Outpost,3892,68323
Ekibiogama,100.15625,84.375,-85.03125,15450,Boole Port,Coriolis Starport,3925,5020
HIP 111096,151.125,-160.5,138.8125,1520,Trinh Enterprise,Coriolis Starport,2372,14271
Chaiman,50.125,-194.25,63.53125,2933308,Trevithick Orbital,Industrial Outpost,224,13129
Dumni,22.5,-198.8125,-42,6167,Nicollier Ring,Orbis Starport,661,21632
Yankondu,29.40625,132.8125,-134.71875,1612315,Bridges Hangar,Military Outpost,23,52839
Concateneg,9.375,-112.375,112.5,3495,Sekowski Prospect,Civilian Outpost,431,63418
Paul-Friedrichs Star,-48.15625,34.3125,8.78125,55000,Froud Prospect,Mining Outpost,739,32753
HIP 102081,-171.28125,-23.46875,53.25,4056,Hahn Orbital,Coriolis Starport,411,14323
Yu Qiano,78.875,148.4375,17.625,2268,Lynn Vision,Coriolis Starport,270,42761
Raidar,58.125,16.21875,99.96875,2159,Shiras Beacon,Industrial Outpost,26,19599
Domovoi,-44,80.25,-83.21875,1755,Hynek City,Orbis Starport,106,60476
Shabogama,122.125,-24.9375,38.78125,1352,McArthur Terminal,Orbis Starport,187,1062
Cocassetsa,-53.96875,-84.3125,-134.625,941788,Korlevic Station,Coriolis Starport,37,29885
HIP 47050,149.5,94.5625,-69.8125,3959,Phillips Port,Industrial Outpost,322,5982
Fan Gong,-84.65625,-100.46875,80.59375,1207,Spring Gateway,Coriolis Starport,2148,74883
Gienah,101.9375,107.375,40.96875,7845396,Bulleid Dock,Coriolis Starport,90,8195
Cant,126.40625,-249.03125,87.78125,209847,Planck Port,Civilian Outpost,47,2247
Brigual,33.25,-214.3125,-39.25,4322,May Orbital,Mining Outpost,2597,15311
Har Itaris,-19.34375,129.3125,-104.0625,1210,Garan Port,Civilian Outpost,40,74124
Elycochos,-71.4375,165.21875,-15.1875,1169,Kidman Hub,Coriolis Starport,1735,59371
Wikmeang Mu,-33.96875,45.34375,-122.1875,12999,Comper Dock,Civilian Outpost,8030,40753
Gcirisci,-108.5,52.65625,88.03125,2269,Hogg Terminal,Civilian Outpost,638,51176
HIP 102869,-49.40625,-103.03125,127.625,4418,Ham Settlement,Mining Outpost,250,5465
Narangga,-82.53125,-102.9375,77.71875,2084816,Martins Landing,Mining Outpost,1411,44534
HIP 13498,113.125,-199.96875,-28.375,6011073,Sadi Carnot Dock,Industrial Outpost,2597,32898
Brontes,8.6875,42.46875,-45.125,29871,Filipchenko Gateway,Coriolis Starport,1341,74911
Tojo,103.875,-181.125,137.5625,1437,Williams Relay,Mining Outpost,9,74891
HIP 85360,11.3125,1.4375,123.1875,21187,Mullane Beacon,Industrial Outpost,30,1697
Goibniu,-54.75,150.59375,81.09375,2492,Drake Orbital,Coriolis Starport,63,11066
Cor Caroli,-19.78125,112.6875,-9.5625,35054,Skripochka Gateway,Coriolis Starport,818,3390
Dhrutin,-62.5625,-42.4375,5.125,4748075,Barratt Port,Coriolis Starport,295,61283
Gaula Saon,-103.03125,-30.21875,-107.0625,1694413,Filter Station,Coriolis Starport,46,22796
Makah,15.65625,-42.5625,-94.8125,1632,Dominique Hub,Industrial Outpost,12,38491
Guan,-40.75,82.71875,78.59375,19797,Thiele Enterprise,Civilian Outpost,1499,38461
Grealli,174.9375,-220.1875,16.59375,3350,Lovelace City,Industrial Outpost,1113,1474
Tjupalar,23.75,-236.84375,80.40625,2792,Rich Terminal,Commercial Outpost,1269,10244
Gulis,94.03125,-24.90625,-115.78125,1022,Schiaparelli Vision,Coriolis Starport,3629,5362
Oanoa,-1.15625,39.21875,158.40625,2060,Dzhanibekov Port,Ocellus Starport,1343,16765
HIP 81353,95.28125,-36.25,130.21875,2138,Yu Station,Orbis Starport,234,10827
HIP 114967,26.21875,-173.875,79.8125,2013,Bliss Colony,Industrial Outpost,15,3776
Khruvanaye,-0.375,40.5,119.9375,1164,Rushworth Station,Coriolis Starport,510,49128
Nez Pelliri,-55.125,-31.59375,58.375,27422,Lee Orbital,Coriolis Starport,12,73779
Endr,38.90625,75.9375,-39.03125,2046,Grigson City,Civilian Outpost,668,47846
Gertsi,26.6875,57.03125,153.15625,1282,Longomontanus Colony,Mining Outpost,49,11050
HIP 106288,15.5625,-158.0625,145.78125,4251,Leavitt Port,Coriolis Starport,5057,75735
Chit,136.90625,-22.0625,-14,21672,Kirby Orbital,Ocellus Starport,39675,12284
Grovichan,115.4375,39.59375,-81.03125,3237,Jacquard Hub,Scientific Outpost,427,19626
Paletes,-68.25,-30.15625,77.125,2175392,Weaver Vision,Civilian Outpost,254,6067
Igbon,-48.28125,-31.03125,-112.5625,1245,Shunn Vision,Civilian Outpost,2394,22420
Darkates,96.96875,-164.40625,137.40625,4438,Bates Orbital,Coriolis Starport,331,75741
Bushur,97.9375,-239.8125,39.15625,2010,Effinger Ring,Industrial Outpost,238,9156
Dao Tiensi,-69.125,-179.5625,39.3125,975,Messerschmid City,Coriolis Starport,12645,35947
HIP 52574,89.5,124.0625,-38.59375,3847,Popper Station,Orbis Starport,21728,67478
Guinna,216.71875,-131,61.78125,1568,Charlois Enterprise,Ocellus Starport,988,74847
Tuvan,57.21875,29,115.46875,1654,Walker Terminal,Industrial Outpost,16,8894
Hajani,-106.65625,-35.03125,-148.28125,48880,Utley City,Industrial Outpost,275,66864
Chongloi,169.46875,-213.28125,77.59375,2748,Asire Port,Industrial Outpost,13663,58439
Mamur,88.0625,30.03125,-135.84375,1893,Heyerdahl Port,Civilian Outpost,177,27391
CD-45 11273,33.3125,-8.5,105.875,15537,Nakamura City,Coriolis Starport,409,558
HIP 112042,-172.34375,-38.78125,-31.375,3863,Ilyushin Port,Ocellus Starport,143,31786
Gamma-1 Volantis,144.78125,-66.15625,29.78125,2662,Cartier City,Coriolis Starport,56,29829
LP 907-37,23.1875,52.53125,36.3125,30654,Cockrell Port,Civilian Outpost,109,24169
Chukua,-115.8125,-22.90625,100.40625,1026,Vaucanson Orbital,Coriolis Starport,5684,61690
HIP 101856,-90.21875,-42.625,68.96875,1356,Lyot Vision,Orbis Starport,7342,7261
Dais,100.4375,-204.65625,28.21875,4558,Dyr Enterprise,Orbis Starport,20,19633
Kokan,-20.1875,115.3125,78.25,14900,Schouten Ring,Orbis Starport,1756,1360
CD-74 1370,63.4375,-61.71875,78.625,4867,Semeonis Settlement,Civilian Outpost,11,72321
Durinn,6.96875,66.75,-73.5625,30294,Gann Dock,Coriolis Starport,292,22188
HERZ 589,32.21875,-61.625,-75.0625,1123,Leibniz Relay,Industrial Outpost,273,26385
Saurami,-123.3125,99.125,39.125,1300,Tuan Station,Orbis Starport,11543,16277
Guinasan,-39.84375,-253.625,98.6875,20691,Al-Jazari Orbital,Orbis Starport,20,49456
Gunnlodumla,-14.25,175.03125,-77.21875,1618,Shoemaker Station,Orbis Starport,75,44984
Dzoavit,130.84375,-9.6875,56.40625,2165,Michell Hub,Industrial Outpost,3536,420
Wadjari,7.15625,-102.34375,-85.375,1337433,Brosnatch Installation,Civilian Outpost,8261,72930
Gorramacor,106.90625,-93.125,49.25,3440,Parmitano City,Civilian Outpost,439098,5016
Dong Wang,57.34375,-121,140.78125,3615,Grechko Beacon,Civilian Outpost,9667,22791
Choerini,-45.375,-101.625,114.875,2875,Clark Orbital,Ocellus Starport,835,66917
Soponna,-114.96875,-30.3125,36.78125,20229,Anders Station,Mining Outpost,9,75147
Egunnlod,20.09375,123.9375,-133.0625,11797,Regiomontanus Dock,Coriolis Starport,420,18971
HIP 870,-91.3125,-157.46875,-22.90625,24819,Clifton Survey,Mining Outpost,9,64693
Tihtipihin,75.09375,-32.78125,-111.46875,1642189,Mendez Orbital,Industrial Outpost,3830,29308
Grans,141.53125,23.9375,85.15625,1305,Roosa Dock,Industrial Outpost,175,75582
Saoriosoli,-39.53125,-87.9375,127.46875,2076,Bohme Station,Industrial Outpost,7,47648
Arietis Sector JR-W c1-19,-48.625,-119.71875,-132.90625,64040,Bryusov Settlement,Coriolis Starport,114,71830
HIP 94252,-158.25,38.15625,56.71875,2450,Moseley Hub,Mining Outpost,214509,12490
Nanoy,137.0625,-14.65625,-14.96875,2920692,Baldwin Hub,Scientific Outpost,107277,8872
Cashibo,-39.90625,43.9375,135.3125,970791,Popper Station,Coriolis Starport,458,52510
Shapori,-130.5625,-25.1875,92.78125,1242,Watt Mine,Industrial Outpost,505,38125
Gamasakandi,-82.125,18.40625,-80.3125,1733642,Guidoni Orbital,Orbis Starport,6229,47708
Girawa,-76.3125,-69.84375,57.21875,20229,Kingsbury Ring,Commercial Outpost,768,10988
Sadharra,12.84375,-169.21875,129.5,4594,Klein Port,Industrial Outpost,426504,58484
