system_name,x,y,z,population,stations_name,stations_type,stations_distance_to_star,Stations_controlling_minor_faction_id,stations_allegiance
Serquaesini,122.5,-148.25,-40.84375,2862,Schlegel Terminal,Industrial Outpost,817,Independent,Aramorans State Ltd 
Wadjimburr,-13.0625,126.03125,82.8125,2568,Kagawa Port,Military Outpost,115,Empire,Nijuna Patron's Principles 
HIP 116528,4.59375,-254.46875,81.90625,5817,Laplace Port,Orbis Starport,5300,Federation,Values Party of Ennead 
HIP 22387,113.1875,-108.21875,-72.3125,4122,Wood Port,Mining Outpost,914,Empire,Indrachit Empire Consulate 
Zoryaco,-32.9375,-125.96875,80.65625,15628,Baudin Relay,Mining Outpost,1325,Independent,Li Chen Yun Purple Life Services 
HIP 12581,75.59375,-195.6875,-51.5625,1819,Hughes Market,Orbis Starport,195,Independent,Gold United Services 
HIP 44089,35.53125,78.90625,-91.15625,14627,Cheranovsky Dock,Mining Outpost,1740,Empire,Liabeze Legal Organisation 
Potilla,73.34375,-262.65625,-33.6875,11548,Flint Hangar,Civilian Outpost,14363,Independent,Dukes of Wolf 883 
HIP 64706,24.8125,148.875,37.1875,1613,Silves Hangar,Industrial Outpost,15,Independent,Workers of Manite Labour Union 
Lobices,-109.53125,-27.8125,111.0625,15444,Haro Station,Scientific Outpost,3522,Empire,HIP 16607 Empire League 
HIP 61816,17.84375,153.15625,4.90625,7102099,Thirsk Enterprise,Civilian Outpost,7581,Federation,Progressive Party of Montet 
Mu Arae,16.625,-10.5625,46.59375,94721,Crouch Hub,Industrial Outpost,271,Federation,Aryak Jet Bridge Company 
HIP 80870,25.78125,38.3125,164.09375,30384,Brahe Terminal,Mining Outpost,3748,Independent,EG Union 
Pic Tok,-81.46875,-22.875,-160.84375,2592,Ramaswamy Outpost,Mining Outpost,1379,Federation,Partnership of Ladabalbasa 
HIP 93639,-20.9375,-37.6875,133.21875,2772,Dirac Terminal,Coriolis Starport,3001,Federation,Tujil Solutions 
Imango,-50.59375,-2.03125,-93.5625,4431769,Stephenson Settlement,Civilian Outpost,16,Federation,Values Party of LHS 480 
LP 195-25,-79.875,-33.21875,-72.40625,24259,Schrodinger Hub,Military Outpost,10,Federation,Independent Zhao Tzu Labour 
Nauacan,22.25,-101.03125,-56.25,2290621,Mattei Point,Mining Outpost,461,Empire,Likedeeler of Michel 
HIP 111707,125.625,-153,124.6875,2145812,Cyrrhus Port,Orbis Starport,88,Empire,Cheneti United PLC 
Wanga,-87.65625,-140.40625,82.28125,6196,Markham Installation,Civilian Outpost,394,Federation,The Roughnecks 
HIP 113598,-16.90625,-196.09375,86.1875,207158,Heng Terminal,Civilian Outpost,400,Federation,Confederacy of CPO 24 
Jamalalam,78.46875,-242.59375,19.9375,1815,Drexler Dock,Industrial Outpost,467,Federation,Andlit Co 
HIP 20347,97.15625,-130.25,-101.59375,2497,Landsteiner Gateway,Civilian Outpost,42221,Independent,Citizen Party of Grabil 
HIP 42408,99.40625,48.625,-77.8125,2356,Shaw City,Coriolis Starport,2499,Federation,Future of LHS 3877 
Tocopa,-30.21875,-85.15625,-103.84375,1218,Rushworth Port,Civilian Outpost,1053,Independent,Traditional Guai Shou Party 
Hehen Bulu,19.71875,46.84375,-110.28125,40851,Camus Orbiter,Coriolis Starport,14568,Alliance,Perez Ring Brewery 
Windiil,13.65625,-179,92.53125,2519,Ricci Dock,Industrial Outpost,174,Independent,Aonikenk Natural Exchange 
HIP 102664,-60.59375,-65.8125,85.96875,1399,Lazutkin Port,Orbis Starport,398,Federation,Baruai Shi Free 
HIP 73408,132.59375,-42.1875,119.6875,12060326,Griffith Dock,Industrial Outpost,2647,Independent,Polahukuna Fortune Co 
Radican,101.6875,16.25,-19.8125,3520,Springer Colony,Industrial Outpost,39,Federation,Workers of HIP 112400 Revolutionary Party 
HIP 104163,27.4375,-160.34375,172.40625,23617,Laplace Orbital,Orbis Starport,69,Federation,Blood Brothers from Alrai 
HIP 15644,120.21875,-132.46875,15,17866,Whymper Gateway,Coriolis Starport,18967,Independent,Teratron 
LTT 15838,-80.21875,0.25,34.09375,1476320266,Daimler Station,Ocellus Starport,9,Federation,10th Legion Industries 
HIP 41659,165.78125,-25.71875,1.9375,2171084,Novitski Survey,Mining Outpost,1098,Federation,LHS 3586 Systems 
HIP 37683,167.25,-33.15625,-28.3125,1624,Bacigalupi Ring,Scientific Outpost,624,Federation,Union of LHS 2088 Resistance 
No Choen,-1.21875,31.75,172.9375,1203960,Pannekoek Dock,Orbis Starport,384,Empire,Koleti Guardians of Tradition 
NLTT 44958,-58.65625,39.28125,17.09375,8456919,Kimura Ring,Scientific Outpost,3234,Empire,BFNF Solutions 
HIP 20480,-12.5625,-53,-154.78125,13834,Hussenot Terminal,Civilian Outpost,68,Independent,Yarram allied 
Uthlan,136.15625,-174.75,-52.0625,3241,Hillary Dock,Civilian Outpost,121,Independent,BD+46 2014 Blue Bridge Group 
Oduwonggani,105.6875,127.09375,53.28125,1958182,Narbeth Terminal,Orbis Starport,98,Independent,Kondovii Nationals 
LHS 3421,27.5625,-33.375,72.5625,2897,Lane Settlement,Mining Outpost,4165,Empire,Ramadillan Creative Co 
Opeten,92.25,96.65625,-4.71875,9774,Stanley Estate,Civilian Outpost,77,Independent,Law Party of Zhang Yun 
Kians,28.53125,27.375,120.6875,1743193,Agassiz Hub,Industrial Outpost,5,Federation,Meticuli for Equality 
HIP 62438,22.5625,178.84375,13.59375,1530,Payne-Scott City,Ocellus Starport,6255,Empire,League of Mudhrid First 
HIP 113839,26.5,-157.6875,82,62698,Evans Enterprise,Industrial Outpost,336,Federation,Bhaguti Advanced Corporation 
HIP 25860,27.3125,-25.90625,-158.09375,35977,Helin Gateway,Civilian Outpost,1029,Empire,Karsuki Ti Patrons of Law 
Kilique,90.1875,-264.375,7,7351,Linenger Ring,Orbis Starport,113,Alliance,Arimpox Pro-Alliance Party 
Konburo,151.1875,-32.375,34.8125,1846,Wheeler Dock,Orbis Starport,526,Independent,Drevlyada League 
HIP 80936,-61.1875,93.03125,112.34375,20185,Appel Point,Industrial Outpost,888,Federation,Sante Gold Comms Limited 
HIP 1687,-122.5,-119.0625,-55.25,133887,Quaglia Estate,Industrial Outpost,1360,Independent,Himaphan Partnership 
Hohnpeiadja,-100.875,7.875,-132.6875,3237,Thurston Dock,Industrial Outpost,41,Independent,Yakawana Law Party 
LTT 2240,43.375,-35.59375,-55.96875,423738574,Eddington Station,Industrial Outpost,206,Empire,League of Serrod Flag 
Narakapani,104.34375,-93.875,10.03125,3763,Wolf Horizons,Civilian Outpost,3158,Federation,Wolf 1039 Free 
HIP 66974,9.3125,164,53.125,15449,Martinez Depot,Civilian Outpost,2256,Federation,NLTT 55164 Creative Exchange 
LP 254-40,1.5625,23.9375,-86.5625,2199090,Schilling Station,Industrial Outpost,562,Independent,Asetsa Fortune Holdings 
HIP 8285,-92,-97.5625,-105.34375,2601,Onufriyenko Hub,Coriolis Starport,14178,Independent,Sigma Bootis Energy Commodities 
HIP 97336,-147.28125,12.09375,54.25,3367097,Ray Platform,Mining Outpost,771,Federation,Partnership of Vishepeu 
Sobek,-34.46875,67.78125,-21.09375,16189,Gurney Vision,Coriolis Starport,61,Empire,CD-26 369 Emperor's Grace 
HIP 66730,-0.90625,184.5,47.375,27497,Anning Hub,Commercial Outpost,1043,Federation,NLTT 49528 Vision PLC 
Lusonda,-34.28125,-67.03125,45.125,3206712,Hardy Terminal,Civilian Outpost,4005,Empire,Wasens Blue General Co 
HIP 23627,62.78125,-64.28125,-101.15625,21903,Sutcliffe Platform,Civilian Outpost,1456,Independent,Union of Jath for Equality 
Psi Fornacis,81.0625,-168.21875,-39.5625,1803,Schlegel Port,Civilian Outpost,34,Federation,Future of Kondovii 
HIP 87370,-14,3.25,129.96875,1595,Anders Hub,Civilian Outpost,212,Federation,Tau-1 Hydrae Industries 
HIP 9349,-2.96875,-129.59375,-51.25,1831,Leopold Heckmann Terminal,Coriolis Starport,22,Empire,Mopaditis Imperial Society 
Rabastyane,-43.3125,-42.125,85.53125,1003,Anthony Station,Coriolis Starport,16,Independent,Bureau of Clionometes Front 
HIP 76911,-76.6875,134.78125,71.6875,1740308,Monge Enterprise,Industrial Outpost,149,Independent,Clan of Redonesses 
Col 285 Sector LK-K b23-1,-72.5625,-5.1875,144.40625,1152940,Spielberg's Inheritance,Planetary Outpost,2953,Alliance,Values Party of HR 5243 
Vodyak,-27.3125,140.90625,40.875,1753,Skjellerup Prospect,Industrial Outpost,27,Empire,Posh Empire Party 
HIP 16984,155.0625,-205.125,-44.28125,28696,Horrocks Orbital,Orbis Starport,6320,Empire,HIP 10694 Citizens' Forum 
Raguanan,60.5625,-222.59375,38.9375,4624,Iwamoto Station,Commercial Outpost,788,Empire,Mudrama Kaze Empire Assembly 
HIP 114269,81.15625,-150.84375,96.46875,1874,Haxel City,Scientific Outpost,954,Independent,Phoenixcorp 
Trong,86.8125,-33.78125,57.09375,19215,McMillan Vision,Orbis Starport,1015,Empire,HIP 113100 Imperial Society 
Yakaldukpe,-1.78125,54.75,156.375,2667,Thierree Hub,Industrial Outpost,2197,Empire,HIP 16914 Empire Party 
Piapoyo,47.34375,-211.9375,113.40625,10763,Plexico Vision,Mining Outpost,1116,Independent,EXO 
HIP 16529,-34.21875,-61.375,-124.5625,1593874,Krylov Station,Industrial Outpost,16952,Independent,Heimr Unionists 
HIP 19934,-17.34375,-57.59375,-160.125,5143558,Birmingham Orbital,Industrial Outpost,543760,Independent,HIP 80364 Blue Transport Inc 
Ipilars,-115.46875,117.1875,106.90625,3822,Michalitsianos Dock,Ocellus Starport,46,Empire,Svari Emperor's Grace 
Kwakw,139.75,-88.65625,71.375,2038,Dilworth Ring,Commercial Outpost,139,Empire,Silver Allied Company 
Mpalital,48.21875,-67.8125,-96.15625,2602,Cesar Janssen Terminal,Mining Outpost,170,Independent,Future of Gugurun 
HIP 64761,-8.4375,129.5625,10.875,29450,Neumann Colony,Industrial Outpost,3054,Independent,Navas Dynasty 
HIP 114443,18.5,-131.8125,63.28125,63581,Popper Enterprise,Orbis Starport,71,Federation,Damna Silver Travel Group 
HIP 15205,-71.0625,-54.625,-146.4375,17461,Moore Hub,Civilian Outpost,119,Independent,People's Party of Gwyddioneni 
Obaluaye,67.09375,-95.1875,93.84375,3664,Cori Port,Industrial Outpost,1370,Independent,Autocracy of T'iensei 
HIP 9846,119.5625,-261.875,-0.75,2647,Gehry Port,Ocellus Starport,14,Independent,Wargis Blue Natural Solutions 
Ngulu,107.6875,118.59375,-59.0625,10543,He Hub,Scientific Outpost,383,Independent,Medungni Mob 
HIP 59419,124.125,42.8125,60.59375,2141,West Mines,Mining Outpost,187612,Empire,Imperial Navy Australia 
He Po,85.8125,-189.875,-23.21875,2469,Edwards Ring,Industrial Outpost,449919,Independent,Alchita Focus 
HIP 28135,40.1875,-15.1875,-126.65625,1235280,Thomson Survey,Civilian Outpost,324,Empire,Kongo Life Inc 
HIP 101274,-13.40625,-75.5,105.03125,2486,Willis Hub,Industrial Outpost,27,Independent,Wings Of Justice 
Hosan,-152.65625,-82.3125,-9.34375,11794,Rennie Hub,Civilian Outpost,11,Federation,New Mambojas Labour 
HIP 7687,13.96875,-124.125,-19.90625,2028,Ellern Orbital,Coriolis Starport,206,Independent,Redonesses Republic Party 
Heidubres,-42.75,95.90625,39.46875,2177,Bowen Colony,Industrial Outpost,759,Independent,Official Alkuylkano Freedom Party 
HIP 99344,23.6875,-70.5625,104.125,3647,Schwann Hub,Ocellus Starport,12195,Independent,Tphene Collective 
Parthini,114.40625,23.125,-96.71875,10691434,Arnarson Enterprise,Scientific Outpost,1274,Alliance,LHS 2637 Major Industry 
Vaftetia,141.71875,-195.1875,75.0625,2456,Bolkow Ring,Industrial Outpost,5664,Empire,CD-25 636 Citizens' Forum 
LHS 1758,-38.125,17.71875,-72.3125,2441,Kent Hub,Orbis Starport,109,Independent,Independents of Catucandit 
HIP 40977,49.3125,57.71875,-96.40625,33336,Jett Hub,Civilian Outpost,141,Federation,LP 747-25 Creative Organisation 
Lie Yu Kou,-63.34375,-27.15625,-66,2202,Vinge Vision,Coriolis Starport,17,Independent,Dukes of Wanges 
HIP 27609,119.9375,-68.09375,-86,25070,Drebbel Landing,Mining Outpost,5,Federation,Alliance of Kicho 
HIP 70487,-89.21875,163.625,1.09375,2094803,Vizcaino Dock,Mining Outpost,2054,Empire,Nu Pictoris Citizen's Party 
HN Bootis,-1.53125,46.21875,27.46875,8153345,Alexandria Ring,Coriolis Starport,54,Independent,Purple Advanced Corp. 
HIP 69901,91.71875,34.5625,104.84375,2884,Thompson Station,Industrial Outpost,155,Federation,Ongkampan PLC 
HIP 1582,90.5,-174.40625,74.21875,4509747684,Lindemann Hub,Commercial Outpost,11,Empire,Bureau of LTT 1483 Defence Force 
Hofada,90.84375,35.34375,38.625,2000,Weill Hub,Industrial Outpost,29114,Empire,Igal Empire Assembly 
LFT 568,53.1875,-9.90625,-1.9375,2712,Elwood Depot,Civilian Outpost,1046,Independent,Zememede aristocrats 
Hou Chema,137.0625,69.21875,41.59375,1097,Keyes Settlement,Industrial Outpost,10,Federation,Revolutionary Patani Labour 
Hohnpete,-94.46875,54.4375,140.84375,3334,Gardner Mines,Industrial Outpost,9813,Independent,Hsuani Citizen Party 
Yarraluk,131.15625,-240.9375,-23.125,3580,Murakami Port,Orbis Starport,9061,Empire,Uhlang Exchange 
HIP 12005,21.1875,-134.4375,-61.21875,4196,Cooper Platform,Industrial Outpost,544,Federation,G 218-5 for Equality 
HIP 66514,-40.1875,144.5,3.34375,1159,Kadenyuk Outpost,Civilian Outpost,1167,Federation,Coalition of NLTT 45576 
HIP 19316,0.8125,-58.15625,-111.5625,19400,Cady Enterprise,Coriolis Starport,2451,Independent,Workers of HIP 60679 Democrats 
Tharwangu,5.59375,-20.34375,-97.96875,2917,Pryor Port,Civilian Outpost,707,Independent,Movement for HIP 3509 Democrats 
Kan Guru,-120.4375,-17.1875,-42.5625,1541,Khayyam Gateway,Industrial Outpost,711090,Empire,Bestii Vision Commodities 
Paribela,-67.9375,2.4375,83.65625,11871,Laveykin Platform,Coriolis Starport,9,Federation,BD-07 4419 for Equality 
Hercuni,71.40625,-116.21875,78.90625,2642,Hague Settlement,Mining Outpost,15,Empire,Kong Dan Silver Electronics 
LHS 3333,-48.21875,27.875,42.40625,27121,Gehry Hub,Mining Outpost,13,Empire,Sakara Patrons of Law 
HIP 64872,-39.625,120.0625,-12.4375,2309,Watson Settlement,Industrial Outpost,15442,Federation,Neits Jet Life Ltd 
Hun Dun,116.09375,-56.96875,81.84375,84605,Kregel Enterprise,Ocellus Starport,108907,Independent,Pushis Life Industries 
Mawambi,65.1875,41.875,3.90625,3034890,Sargent's Inheritance,Industrial Outpost,1330,Independent,HIP 10449 Dominion 
HIP 35310,62.5,24.90625,-117.90625,1113,Guidoni Terminal,Industrial Outpost,86572,Federation,LHS 1067 Travel Network 
Wailladyan,-22.71875,-32.53125,40.71875,5793534,Hieb Plant,Civilian Outpost,1613,Independent,Nobles of HIP 97531 
HIP 2563,-134.78125,-104.59375,-73.53125,2074,Tshang Enterprise,Mining Outpost,1999,Empire,Artemis Empire Assembly 
Hotadital,3.0625,-22.15625,-142.96875,1639,Boswell Station,Orbis Starport,2678,Independent,League of Yucan 
HIP 68688,91.3125,97,120.28125,3068,Sagan Ring,Commercial Outpost,7308,Independent,Unionists of Kadroa 
HIP 112753,80.65625,-136.125,96.90625,10838676095,Pennington Hangar,Industrial Outpost,682,Federation,Values Party of Collangbaka 
Kraudji,43,-116.625,-95.96875,2307,Serebrov Terminal,Coriolis Starport,1742,Independent,Children of Raxxla 
Paemara,100.5,69.0625,84.25,2110768,Tank Orbital,Industrial Outpost,162,Empire,Achehoongat Empire Group 
Satvaneka,7.65625,35.5,-115.125,1422216057,Ejeta Landing,Mining Outpost,249904,Independent,Friends of Bresatese 
Montioch,166.9375,-85.875,-43.40625,2580,Heng Dock,Civilian Outpost,2285,Federation,Green Party of Senlu 
Herishep,-11.25,-19.09375,-66.125,26224,Bell Settlement,Industrial Outpost,39,Federation,Ice Storm Squadron 
V2431 Cygni,-75.28125,-10.21875,19.53125,2396,Danvers Station,Civilian Outpost,190,Independent,Revolutionary Party of Misarret 
HIP 26269,126.4375,-78.96875,55.8125,2093,Cantor Hub,Coriolis Starport,2588,Empire,Teleut Patriots 
Ross 71,-3.375,16.15625,-119.96875,2568476,Phillips' Pride,Mining Outpost,499,Empire,Dana Defence Party 
HIP 9339,-17.09375,-137.46875,-66.5,3050,Hippalus Settlement,Industrial Outpost,422,Independent,Dukes of Tsetan 
Nu Gong,57.1875,-79.59375,154.71875,6838,Schwarzschild Vision,Mining Outpost,114,Empire,Djakah Defence Party 
Ross 310,-80.65625,-6.21875,-43,2890015721,Ricci Landing,Civilian Outpost,2024,Independent,Madimo Free 
Poncali,113.03125,29.3125,25.84375,2897,Finney City,Ocellus Starport,34,Federation,Potamoi Major & Co 
HIP 20218,31.90625,-71.0625,-96.875,11554,Volynov Platform,Civilian Outpost,4820,Independent,HIP 85010 Order 
Wuninka,120.84375,-218.625,117.3125,2151,Manakov Port,Commercial Outpost,401,Independent,Autocracy of Murnakum 
HIP 75426,7.09375,89.3125,110.125,3111,Stapledon Dock,Mining Outpost,28308,Empire,Quivira Electronics PLC 
Hong,-1.09375,-102.625,35.3125,76747,Keeler Port,Industrial Outpost,353,Empire,Gungo General Exchange 
HIP 16783,54.21875,-117.34375,-72.78125,2639450,White Enterprise,Mining Outpost,3199,Federation,Hima Comms Network 
Phra Athi,-110.875,0.5,6.71875,3585,Stewart Port,Ocellus Starport,145,Independent,Canezti Silver Mob 
HIP 45734,161.21875,-61.84375,67.21875,4883,Lee City,Commercial Outpost,56,Empire,LP 214-1 Empire League 
HIP 98878,-81.78125,-34.8125,87.5625,1879,Hertz Enterprise,Industrial Outpost,29,Federation,People's Waruts Democrats 
HIP 24986,217.40625,-146.875,15.3125,1485,Fung Platform,Civilian Outpost,12,Empire,Ekoimurt First 
HIP 60346,-3.25,126.3125,-16.9375,1243818,Yeliseyev Settlement,Mining Outpost,252,Federation,Melici Progressive Party 
Crescent Sector GW-W c1-8,-4842.1875,210.8125,1252.21875,50000,Alas Port,Industrial Outpost,430,Independent,Allied Wangkathaa Focus 
HIP 95006,-17.21875,-43.75,121.25,17848,Strekalov Depot,Civilian Outpost,1241792,Federation,V1090 Herculis Federal Commodities 
HIP 58213,23.28125,203.125,-35.21875,2838,Campbell Settlement,Civilian Outpost,1100,Alliance,Alliance Democratic Network 
HIP 28525,217.59375,-129.96875,86.375,4540,Stiles Terminal,Mining Outpost,932,Empire,Orbis Sphera 
Hez Pei,-0.75,110.75,-40.5,21449,Pippin Dock,Ocellus Starport,5458,Federation,Independents of Arimil 
Kokosh,116.125,55.34375,78.46875,3468,Merril Platform,Civilian Outpost,257,Independent,Pripuri Collective 
HIP 73623,-88.9375,95.9375,-21.9375,2051901,Merril Ring,Orbis Starport,131,Independent,Brazilian Armada X 
HIP 113010,-2.625,-129.03125,63.9375,532631754,Swift Station,Commercial Outpost,124,Empire,Contiku Empire League 
Tetone,48.53125,-176.09375,1.875,6240787,Nowak Holdings,Industrial Outpost,386412,Independent,Traditional Lan Tie Yu First 
Timo Jun,-47.59375,-42.6875,-137.375,1360,Helmholtz Dock,Civilian Outpost,30,Independent,Mbetani Blue Crew 
HIP 57112,26.65625,143.78125,-29.21875,1924766,Mitropoulos Colony,Mining Outpost,1055,Federation,Union of Maolabal Confederacy 
Kuring,-6.9375,19.4375,105.5625,15656,Lagadha Port,Industrial Outpost,2842,Empire,League of Ruhanga Dominion 
Lwalak,-39.28125,-133.53125,97.0625,2940,Edison Port,Civilian Outpost,15,Independent,Teppani Travel Industries 
HIP 91187,-50.28125,-5.15625,125.25,6750916,Dobrovolskiy Hub,Mining Outpost,159590,Federation,Thunderbird Corporation 
HIP 107806,38.40625,-96.46875,83.65625,2493,Sullivan Terminal,Civilian Outpost,1572,Federation,Borann Industries 
HIP 27923,206.1875,-119.15625,-21.6875,9544,Crown City,Coriolis Starport,596,Independent,Kishpakho Organisation 
Noonitokomu,1.40625,-88.09375,70.9375,2614,Thornton Colony,Mining Outpost,1096,Federation,Confederation of LTT 7251 
Karna,147.78125,-162.875,111.5625,2027,Otiman Installation,Civilian Outpost,2017,Independent,HIP 60662 People's Co-operative 
HIP 50765,148.21875,-13.6875,45.875,4104997,Galiano City,Civilian Outpost,2016,Alliance,New LTT 14436 Values Party 
Salintaula,128.0625,34.78125,27.90625,2099,Vaucanson Gateway,Civilian Outpost,133,Independent,Yimanbin Nationalists 
HIP 22559,-23.25,-16.375,-137.65625,2175293,Bessemer Station,Military Outpost,758,Federation,Chi Eridani Crimson Travel & Co 
HIP 20741,-0.84375,-54.375,-139.9375,21394,Klimuk City,Orbis Starport,298,Independent,HR 1254 Nationalists 
HIP 18702,146.6875,-190.15625,-78.46875,7400,Resnik Dock,Orbis Starport,869,Federation,HIP 24046 Future 
HIP 20237,-7.875,-49.96875,-131.25,873348110,Ziemianski Enterprise,Civilian Outpost,549,Independent,Revolutionary HIP 86385 Union Party 
Lun Du,-118.84375,-126.53125,-9.53125,1454,Williams Terminal,Industrial Outpost,68444,Alliance,Kaba Comms Services 
HIP 115888,-2.15625,-182.875,62.78125,4230,Lee Platform,Industrial Outpost,1851,Independent,Independent Ducat Unionists 
HIP 51372,151.90625,100.3125,-19.90625,2059,Arrhenius Orbital,Orbis Starport,1325,Federation,LTT 16523 Jet Advanced Corp. 
Himaphan,-71.53125,-14.4375,108.78125,14344,Escobar City,Commercial Outpost,2953,Federation,Athena Inc 
Yaguvit,37.15625,-159.40625,116.125,3600,Baracchi Platform,Ocellus Starport,429,Empire,HIP 1299 Empire Party 
Hesquix,-57.71875,-179.5,-1.84375,2476,Maudslay Dock,Orbis Starport,448790,Federation,Scori Alliance 
HIP 15376,44,-121.5,-69.96875,1723,Bulleid Settlement,Coriolis Starport,304,Independent,Delta Squadron 
Ponchuan,102.5625,-110.875,114.25,2235,Morgan Dock,Industrial Outpost,1818,Federation,Potamoi Major & Co 
HR 1076,60.59375,-91.9375,-26.15625,21398,Peltier Vision,Civilian Outpost,1720,Empire,Zelacanto Gold Galactic Holdings 
HIP 80700,-40.96875,82.625,123.59375,30457,Lindbohm Port,Civilian Outpost,14347,Independent,Sango Syndicate 
HIP 81662,-76.96875,90.5625,89.625,1465738,al-Din Platform,Civilian Outpost,1894,Independent,Black Birds Consilium 
HIP 78313,43.96875,49.3125,160.5,24273,Zudov Hub,Coriolis Starport,1636,Independent,Allied RMK 6 Justice Party 
HIP 110205,-107.90625,-81.25,27.34375,752614825,Wachmann Port,Commercial Outpost,415050,Independent,CD-31 1974 Labour Union 
HIP 18387,131.09375,-120.71875,19.8125,54688,Jett Market,Orbis Starport,931,Independent,HIP 23395 Systems 
Turbela,-15.34375,-41.78125,137.03125,1566,Tryggvason City,Coriolis Starport,7113,Federation,Savi for Equality 
HIP 13725,85.1875,-183.96875,-51.1875,2986,Donati Station,Orbis Starport,1974,Empire,Gliese 105.2 Comms Corporation 
Kongoloca,-97.65625,-29.21875,88.90625,1571892,Krigstein Hub,Industrial Outpost,5875,Empire,Miquit Imperial Society 
HIP 14134,-79.5,-39.34375,-128.25,22649,Wilson Hangar,Civilian Outpost,411,Federation,Confederation of Gliese 875 
Teurbi,-45.5625,52.90625,94.9375,14595,Cabot City,Industrial Outpost,578,Independent,Revolutionary Unelinte Left Party 
HIP 86419,19.96875,-10.90625,123.40625,2526,Sovica,Orbis Starport,296,Empire,Tangaroa Empire League 
HIP 67031,44.90625,100.09375,65.03125,1727231144,Emshwiller Dock,Mining Outpost,1118,Empire,NLTT 7856 Imperial Society 
Holvait,-86.34375,9,-91.125,18900,Hertzsprung Terminal,Coriolis Starport,213,Empire,Gungo General Exchange 
HIP 22177,31.65625,-59.84375,-124.28125,11596,Firsoff Orbital,Mining Outpost,65,Empire,Igal Empire Assembly 
Hatmehi,49.71875,-156.5625,-66.21875,2122121,Cassidy Platform,Industrial Outpost,1752,Alliance,Tirada Jet Comms Limited 
HIP 101854,126.625,-139.46875,161.625,2066,Iben City,Civilian Outpost,195,Independent,People's Balmung Future 
Honiu,17.71875,-91.5625,105.65625,48767,Crown Dock,Coriolis Starport,241,Federation,Yen Di Travel Inc 
Nirrayutori,113.6875,-70.96875,-81.71875,1540,Egan Orbital,Industrial Outpost,50,Federation,Labour of Zlota Lung 
Quitakiana,59.84375,-144.75,-31.3125,137452,Hevelius Landing,Mining Outpost,13,Empire,Antovii Holdings 
HIP 19232,71.15625,-105.21875,-71.09375,4378,Burnham Beacon,Industrial Outpost,530519,Independent,HIP 59533 Shared 
HIP 105408,18.15625,-147.71875,145.5,8861034,Nelder Station,Civilian Outpost,1206,Empire,Beatis Citizens' Forum 
Hastar,-79.5,80.46875,57.15625,2938985,Leslie City,Orbis Starport,1001,Federation,Agastani Resistance 
Helveti,-31.40625,-153.78125,-81.875,2114547,Yegorov Depot,Civilian Outpost,29,Federation,Ambibeb League 
LP 336-71,41.875,7.25,77.65625,1890069,Kennan Colony,Industrial Outpost,9,Independent,Shon Blue Cartel 
HIP 81378,-78.25,85.34375,61.25,2535888,Converse Orbital,Industrial Outpost,11459,Empire,Setesuyara Empire Pact 
HIP 22006,100.5625,-89.34375,-27.75,8428271,Rashid Platform,Industrial Outpost,3724,Federation,Hyroku Interstellar 
Col 285 Sector SE-Q d5-107,-182.21875,5.625,55.84375,78306,Elder City,Planetary Port,259,Empire,League of Pi Pavonis Party 
Pacanis,156.59375,-32.25,5.1875,1553,August von Steinheil Terminal,Coriolis Starport,178,Empire,Gelo Kop Patron's Principles 
HIP 71726,-52.75,158.8125,49.46875,27009,Carpenter Port,Civilian Outpost,6,Federation,Path Vision Solutions 
Chonta,151.90625,-200.59375,48.1875,2398,Atkov Ring,Orbis Starport,2263,Independent,LP 581-36 Purple Comms Systems 
Jotnar,-54.625,24.3125,-86.21875,2434805,Behnken Orbital,Civilian Outpost,3615,Federation,Minutemen 
Carnutet,121.1875,-103.25,-38.8125,2777,Savinykh Dock,Civilian Outpost,3601,Federation,Tigurd Blue Legal Organisation 
Svarindbh,-61.21875,36.8125,163.03125,1163,Taylor Enterprise,Civilian Outpost,1273,Independent,Rauras Systems 
Chime,114.96875,-50.90625,-82.4375,1537,Cavendish Station,Ocellus Starport,72571,Federation,Ananke United Corporation 
Insubii,-85.40625,63.46875,-88.78125,1003439,Cogswell Hangar,Military Outpost,477,Empire,Ingguromal Patron's Principles 
Dubiaku,82.4375,120.0625,83.375,10750,Gernsback Hub,Scientific Outpost,412,Federation,Democrats of Korwei 
Brulao,77.28125,43.78125,-64.84375,2002,Kanwar Terminal,Mining Outpost,2496,Independent,Phoenix Down 
Domotwa,47,42.96875,23.65625,19316,Bachman Platform,Scientific Outpost,910,Federation,Caelottixa Central & Co 
Caritra,37.75,-1.125,99.0625,20603,Shiras Port,Orbis Starport,297,Federation,Section 31 
Cai Shalang,52.84375,-8.78125,-121.15625,2772445,Henry Orbital,Civilian Outpost,9523,Federation,Chimba Public Industries 
Tiverta,38.6875,38.125,-119.6875,19226,Bottego Hub,Coriolis Starport,897,Alliance,Natural Mehit Liberty Party 
Dewikum,19.375,-0.28125,-68.9375,38738,Chadwick Terminal,Civilian Outpost,1222,Empire,Khodiwobogi Exchange 
Haoki,7.75,59,120.46875,23133,Fawcett Hub,Orbis Starport,805,Alliance,Labour of 70 Virginis 
HIP 5578,-20.84375,-127.9375,-28.6875,2333,Sy Landing,Mining Outpost,11,Empire,Defence Force of Mal Ye 
Decan,-0.625,-5.21875,134.28125,1570,Lee Hub,Ocellus Starport,21540,Empire,Likedeeler of Michel 
